 ,,,"Cust
Pounds",,,,,,,Case Dimensions,,,Pallet Info,
Customer group,Mat'l,Yr/Mo,12/2019,01/2020,02/2020,TI/HI,PLT QTY,Net Weight ,Gross Weight,H,L,W,Gross Weight (65lb per pallet),Pallet Height in Inches (5in per plt)
HANNAFORD DAIRY,174259,VERMONT SHARP W CRK CUT 12/10 OZ HANN,"8,925 ","7,013 ","4,463 ",17X05,85,7.5,9.3,8.5,11.438,8.938,  855.50 ,  47.500 
HANNAFORD DAIRY,174260,SHARP CHED C THICK SHR 12/8 OZ ZSUP HANN,"4,290 ","4,320 ","3,576 ",15X08,120,6,6.67,5.418,15.677,7.927,  865.40 ,  48.344 
HANNAFORD DAIRY,174261,X-SHARP CHED W CRK CUT 12/10 OZ HANN,"7,013 ","6,375 ","3,825 ",17X05,85,7.5,9.3,8.5,11.438,8.938,  855.50 ,  47.500 
HANNAFORD DAIRY,174273,MILD CHED C THICK SHR 12/8 OZ ZSUP HANN,"2,874 ","2,160 ","2,880 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
HANNAFORD DAIRY,174280,PARTY TRAY CRK CUT 6/16 OZ HANN,"6,864 ","4,110 ","4,368 ",26X06,156,6,7.51,7.625,9.563,7.065,"  1,236.56 ",  50.750 
HANNAFORD DAIRY,174281,PARTY TRAY PREM CRK CUT 6/16 OZ HANN,"4,740 ","2,340 ","2,628 ",26X06,156,6,7.51,7.625,9.563,7.065,"  1,236.56 ",  50.750 
HANNAFORD DAIRY,174282,MOZZ THICK SHR 12/8 OZ ZSUP HANN,"7,200 ","6,480 ","5,694 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
HANNAFORD DELI,100261,SWISS A CUT 2/8 LB GLC,"51,926 ","57,416 ","53,519 ",10X09,90,16,18.18,5.125,16.375,9.625,"  1,701.20 ",  51.125 
HANNAFORD DELI,102513,"50/50 WM,PRO DIC 4/5 LB GLC","2,240 ","3,360 ","2,720 ",08X05,40,20,21.56,7.5,17.25,13.375,  927.40 ,  42.500 
HANNAFORD DELI,167995,AMER C LOAF 6/5 LB HANN,"32,400 ","30,570 ","18,000 ",12X05,60,12,31.75,8.438,11.875,11.875,"  1,970.00 ",  47.190 
HANNAFORD DELI,167996,AMER W LOAF 6/5 LB HANN,"179,880 ","176,400 ","127,530 ",12X05,60,12,31.75,8.438,11.875,11.875,"  1,970.00 ",  47.190 
HANNAFORD DELI,172849,PEPPER JACK 2/5 LB TOI,"7,670 ","15,340 ","15,360 ",16X08,128,6,10.42,4.375,12.063,8.813,"  1,398.76 ",  40.000 
HANNAFORD DELI,262539,BABY SWISS ROUND 2/5 LB TOI,"12,549 ","17,184 ","6,266 ",15X09,135,10,10.78,5,14.25,7.5,"  1,520.30 ",  50.000 
HANNAFORD DELI,263768,MUENSTER 2/6 LB TOI,"7,577 ","7,076 ","6,970 ",17X06,102,12,12.8,4.6875,11.625,8.625,"  1,370.60 ",  33.125 
HANNAFORD DELI,263949,BLUE RF CRUMBLE CUP 12/4 OZ TOI,384 ,"1,536 ",768 ,16X08,128,6,3.84,5.5,9.5,9.5,  556.52 ,  49.000 
